berita,label
"Sebanyak 34 anggota polisi dimintai keterangan di Ditreskrimum Polda Jawa Timur terkait  Tragedi Kanjuruhan Malang hari ini, Senin (17/10).",0
"Selebritas Nikita Mirzani, tak terlihat ikut bersama pengacaranya, Fahmi Bachmid, di Mapolresta Serang Kota, Banten, Senin (17/10).",0
Wakil Gubernur Jawa Timur Emil Dardak membantah tudingan Sekjen DPP PDIP Hasto Kristiyanto yang menyebut komunikasinya kurang baik dengan para kepala daerah PDIP di Jatim.,0
"Dua orang warga yang merupakan kakak dan adik terseret banjir di rumahnya di Banjar Dinas Santi, Desa Selat, Kabupaten Karangasem, Bali, Senin (17/10).",0
"Banjir bandang yang menerjang jembatan Biluh Poh di Kecamatan Mendoyo, Kabupaten Jembarana, Bali, mengakibatkan jalur utama Gilimanuk- Denpasar, Bali, tidak bisa dilewati dan saat ini ditutup.",0
"Tim gabungan telah menemukan satu korban yang tertimbun tanah longsor di Kabupaten Jeneponto, Sulawesi Selatan. Dengan demikian, total tiga korban jiwa yang tertimbun sudah ditemukan semuanya.",0
Sekjen PDIP Hasto Kristiyanto menyebut Wakil Gubernur Jawa Timur Emil Dardak memiliki hubungan kurang baik dengan kepala daerah lainnya yang merupakan kader PDIP.,0
Dewan Pimpinan Wilayah Partai Persatuan Pembangunan (PPP) dan Partai Amanat Nasional (PAN) Nusa Tenggara Timur mendeklarasikan Ganjar Pranowo sebagai calon presiden 2024. Deklarasi tersebut berlangsung Minggu (16/10).,0
Kepala Dinas Kesehatan Provinsi Bali I Nyoman Gede Anom mengungkapkan 11 pasien gagal ginjal misterius dan akut yang meninggal di Bali mendapatkan penanganan yang terlambat.,0
Wali Kota Bandung Yana Mulyana berharap ibu kota Jawa Barat tetap berada di Kota Bandung.Hal tersebut ia lontarkan menanggapi wacana pemindahan ibu kota Jawa Barat.,0
"Sebuah video yang menampilkan seorang Warga Negara Asing (WNA) tergulung ombak yang dipenuhi sampah saat berselancar atau surfing di Pantai Batu Bolong, Canggu, Kecamatan Kuta Utara, Kabupaten Badung, Bali, viral di media sosial.",0
"Sebanyak 11 orang pasien anak di Rumah Sakit Umum Pusat (RSUP) Prof Ngoerah, Denpasar, Bali, yang mengidap penyakit gagal ginjal misterius dan akut atau Acute Kidney Injury (AKI) meninggal dunia.",0
"Irjen Pol Teddy Minahasa dikabarkan ditangkap terkait kasus narkoba. Padahal belum sepekan dia ditetapkan menjadi Kapolda Jawa Timur (Jatim), dan dijadwalkan serah terima jabatan (Sertijab) pekan depan.",0
"Eks Pangdam Cenderawasih Mayjen TNI (Purn) Fransen Goncang membeberkan perihal peluru tajam dalam kesaksiannya di sidang kasus HAM Paniai Papua yang digelar di Pengadilan Negeri Makassar, Sulawesi Selatan, Kamis (14/10).",0
"Suporter Arema FC atau Aremania menyatakan Ade Armando seharusnya bisa mempertanggungjawabkan pernyataannya dan tak takut datang ke Malang, Jawa Timur, bila dipanggil polisi untuk diperiksa.",0
"Kapolri Jenderal Pol Listyo Sigit Prabowo menyinggung perihal upaya melakukan penguatan struktur organisasi Detasemen Khusus (Densus) 88 Antiteror Polri saat berbicara dalam peringatan dua dekade Tragedi Bom Bali, Rabu (12/10) malam.",0
"Kabid Dokkes Polda Jatim, Kombes Pol dr Erwinn Zainul Hakim mengatakan saat ini sudah ada dua jenazah korban Tragedi Kanjuruhan, yang keluarganya mengajukan proses autopsi.",0
